sep=;
Series;Time;Value
Average mTimeConsum;2018-03-29T11:00:00+08:00;427.34743202416917
Average mTimeConsum;2018-03-29T11:20:00+08:00;400.8666666666667
Average mTimeConsum;2018-03-29T11:40:00+08:00;478.2184300341297
Average mTimeConsum;2018-03-29T12:00:00+08:00;437.29596412556054
Average mTimeConsum;2018-03-29T12:20:00+08:00;534.0496688741722
Average mTimeConsum;2018-03-29T12:40:00+08:00;396.42508710801394
Average mTimeConsum;2018-03-29T13:00:00+08:00;445.72607260726073
Average mTimeConsum;2018-03-29T13:20:00+08:00;492.12867647058823
Average mTimeConsum;2018-03-29T13:40:00+08:00;487.0037878787879
Average mTimeConsum;2018-03-29T14:00:00+08:00;432.88316151202747
Average mTimeConsum;2018-03-29T14:20:00+08:00;414.5295950155763
Average mTimeConsum;2018-03-29T14:40:00+08:00;404.2247557003257
Average mTimeConsum;2018-03-29T15:00:00+08:00;426.55307262569835
Average mTimeConsum;2018-03-29T15:20:00+08:00;416.25
Average mTimeConsum;2018-03-29T15:40:00+08:00;531.875
Average mTimeConsum;2018-03-29T16:00:00+08:00;556.9529780564263
Average mTimeConsum;2018-03-29T16:20:00+08:00;503.9662162162162
Average mTimeConsum;2018-03-29T16:40:00+08:00;492.44144144144144
Average mTimeConsum;2018-03-29T17:00:00+08:00;522.3116279069767
Average mTimeConsum;2018-03-29T17:20:00+08:00;428.6605504587156
Average mTimeConsum;2018-03-29T17:40:00+08:00;514.3526970954357
Average mTimeConsum;2018-03-29T18:00:00+08:00;399.1322314049587
Average mTimeConsum;2018-03-29T18:20:00+08:00;430.33179723502303
Average mTimeConsum;2018-03-29T18:40:00+08:00;516.0038759689922
Average mTimeConsum;2018-03-29T19:00:00+08:00;435.8906882591093
Average mTimeConsum;2018-03-29T19:20:00+08:00;369.8503401360544
Average mTimeConsum;2018-03-29T19:40:00+08:00;387.0407407407407
Average mTimeConsum;2018-03-29T20:00:00+08:00;381.1954397394137
Average mTimeConsum;2018-03-29T20:20:00+08:00;459.8551724137931
Average mTimeConsum;2018-03-29T20:40:00+08:00;389.65277777777777
Average mTimeConsum;2018-03-29T21:00:00+08:00;452.6601941747573
Average mTimeConsum;2018-03-29T21:20:00+08:00;493.72151898734177
Average mTimeConsum;2018-03-29T21:40:00+08:00;533.2286585365854
Average mTimeConsum;2018-03-29T22:00:00+08:00;395.1044776119403
Average mTimeConsum;2018-03-29T22:20:00+08:00;442.43589743589746
Average mTimeConsum;2018-03-29T22:40:00+08:00;401.5833333333333
Average mTimeConsum;2018-03-29T23:00:00+08:00;381.82608695652175
Average mTimeConsum;2018-03-29T23:20:00+08:00;481.3905579399142
Average mTimeConsum;2018-03-29T23:40:00+08:00;418.13488372093025
Average mTimeConsum;2018-03-30T00:00:00+08:00;452.0281690140845
Average mTimeConsum;2018-03-30T00:20:00+08:00;324.3893805309734
Average mTimeConsum;2018-03-30T00:40:00+08:00;406.75280898876406
Average mTimeConsum;2018-03-30T01:00:00+08:00;513.2647058823529
Average mTimeConsum;2018-03-30T01:20:00+08:00;368.6607142857143
Average mTimeConsum;2018-03-30T01:40:00+08:00;488.6875
Average mTimeConsum;2018-03-30T02:00:00+08:00;469.85714285714283
Average mTimeConsum;2018-03-30T02:20:00+08:00;921.2173913043479
Average mTimeConsum;2018-03-30T02:40:00+08:00;678.0833333333334
Average mTimeConsum;2018-03-30T03:00:00+08:00;334.88461538461536
Average mTimeConsum;2018-03-30T03:20:00+08:00;483.4166666666667
Average mTimeConsum;2018-03-30T03:40:00+08:00;455.1
Average mTimeConsum;2018-03-30T04:00:00+08:00;488.5
Average mTimeConsum;2018-03-30T04:20:00+08:00;937.1875
Average mTimeConsum;2018-03-30T04:40:00+08:00;458.0769230769231
Average mTimeConsum;2018-03-30T05:00:00+08:00;585.0714285714286
Average mTimeConsum;2018-03-30T05:20:00+08:00;737.7777777777778
Average mTimeConsum;2018-03-30T05:40:00+08:00;487.5
Average mTimeConsum;2018-03-30T06:00:00+08:00;651.9
Average mTimeConsum;2018-03-30T06:20:00+08:00;589.8888888888889
Average mTimeConsum;2018-03-30T06:40:00+08:00;635.3928571428571
Average mTimeConsum;2018-03-30T07:00:00+08:00;514.4861111111111
Average mTimeConsum;2018-03-30T07:20:00+08:00;536.25
Average mTimeConsum;2018-03-30T07:40:00+08:00;427.0485436893204
Average mTimeConsum;2018-03-30T08:00:00+08:00;507.5238095238095
Average mTimeConsum;2018-03-30T08:20:00+08:00;493.95541401273886
Average mTimeConsum;2018-03-30T08:40:00+08:00;350.02702702702703
